distrito_id,seccion_id,seccionprovincial_id,seccion_nombre
1,15,0.0,Comuna 15
1,1,0.0,Comuna 01
1,4,0.0,Comuna 04
4,1,0.0,Capital
4,26,0.0,Unión
1,8,0.0,Comuna 08
1,5,0.0,Comuna 05
1,12,0.0,Comuna 12
1,9,0.0,Comuna 09
1,2,0.0,Comuna 02
1,13,0.0,Comuna 13
3,1,0.0,Capital
18,12,0.0,Pocito
3,7,0.0,Paclin
3,10,0.0,Ambato
1,3,0.0,Comuna 03
3,12,0.0,Andalgalá
1,10,0.0,Comuna 10
3,9,0.0,Fray Mamerto Esquiú
1,6,0.0,Comuna 06
3,15,0.0,Tinogasta
3,16,0.0,Santa María
3,13,0.0,Belén
4,5,0.0,General Roca
4,4,0.0,Cruz Del Eje
1,11,0.0,Comuna 11
3,2,0.0,Capayan
4,12,0.0,Punilla
4,16,0.0,Río Segundo
4,18,0.0,San Alberto
4,13,0.0,Río Cuarto
3,6,0.0,Santa Rosa
4,17,0.0,Roque Sáenz Peña
1,7,0.0,Comuna 07
1,14,0.0,Comuna 14
4,7,0.0,Ischilin
3,11,0.0,Pomán
3,8,0.0,Valle Viejo
4,6,0.0,General San Martín
4,19,0.0,San Javier
4,20,0.0,San Justo
5,3,0.0,Curuzú Cuatiá
4,8,0.0,Juárez Celman
4,23,0.0,Tercero Arriba
4,2,0.0,Calamuchita
4,25,0.0,Tulumba
4,24,0.0,Totoral
6,1,0.0,San Fernando
4,21,0.0,Santa María
5,2,0.0,Goya
4,9,0.0,Marcos Juárez
4,14,0.0,Río Primero
5,1,0.0,Capital
4,3,0.0,Colón
4,22,0.0,Sobremonte
7,1,0.0,Rawson
6,11,0.0,Mayor L. J. Fontana
6,12,0.0,O'Higgins
4,11,0.0,Pocho
3,3,0.0,La Paz
5,4,0.0,Mercedes
6,25,0.0,General Güemes
6,13,0.0,Comandante Fernández
7,6,0.0,Futaleufú
5,20,0.0,Sauce
13,2,11.0,Godoy Cruz
13,3,9.0,Guaymallén
9,4,0.0,Pirané
7,2,0.0,Biedma
9,3,0.0,Pilcomayo
4,10,0.0,Minas
7,13,0.0,Río Senguer
5,7,0.0,Santo Tomé
13,4,9.0,Las Heras
7,12,0.0,Gaiman
6,14,0.0,Quitilipi
7,15,0.0,Escalante
6,15,0.0,25 De Mayo
7,8,0.0,Tehuelches
5,6,0.0,Lavalle
6,17,0.0,Independencia
5,9,0.0,Monte Caseros
11,2,0.0,Capital
6,18,0.0,General Belgrano
9,6,0.0,Patiño
7,11,0.0,F. Ameghino
7,14,0.0,Sarmiento
6,21,0.0,12 De Octubre
7,4,0.0,Gastre
5,11,0.0,Bella Vista
13,6,10.0,Maipú
4,15,0.0,Río Seco
6,24,0.0,Almirante Brown
6,16,0.0,Maipú
6,20,0.0,Chacabuco
9,9,0.0,Ramón Lista
6,7,0.0,Bermejo
13,5,9.0,Lavalle
7,5,0.0,Cushamen
5,8,0.0,Paso De Los Libres
11,15,0.0,Maraco
13,8,11.0,Tupungato
11,1,0.0,Atreuco
11,4,0.0,Catriló
11,10,0.0,Guatrache
5,18,0.0,Mburucuya
9,1,0.0,Formosa
13,7,11.0,Luján
14,1,0.0,Capital
5,12,0.0,Empedrado
5,15,0.0,Saladas
5,21,0.0,San Cosme
13,9,10.0,San Martín
5,17,0.0,Concepción
5,14,0.0,General Paz
6,23,0.0,Fray J. Sta. María De Oro
13,12,11.0,Tunuyán
11,8,0.0,Conhelo
14,16,0.0,Iguazú
5,13,0.0,San Roque
5,16,0.0,San Martín
11,6,0.0,Chapaleufu
17,19,0.0,Molinos
13,16,12.0,San Rafael
14,3,0.0,Candelaria
14,2,0.0,Apóstoles
14,5,0.0,Concepción De La Sierra
6,19,0.0,9 De Julio
5,10,0.0,San Luis Del Palmar
11,16,0.0,Puelen
17,21,0.0,Rosario De Lerma
14,4,0.0,Leandro N. Alem
11,18,0.0,Rancul
14,15,0.0,San Pedro
11,12,0.0,Loventue
17,18,0.0,San Carlos
9,5,0.0,Pilagas
13,11,10.0,Rivadavia
17,12,0.0,Chicoana
17,9,0.0,Iruya
5,19,0.0,Ituzaingo
13,14,10.0,Santa Rosa
13,17,12.0,Malargüe
19,3,0.0,Pedernera
14,7,0.0,San Ignacio
17,15,0.0,Rosario De La Frontera
13,18,12.0,General Alvear
18,1,0.0,Capital
14,6,0.0,San Javier
17,14,0.0,Guachipas
14,8,0.0,Oberá
13,13,11.0,San Carlos
17,1,0.0,Capital
18,4,0.0,Rivadavia
11,19,0.0,Realicó
11,11,0.0,Hucal
19,7,0.0,Ayacucho
18,2,0.0,Santa Lucía
19,6,0.0,Junín
14,9,0.0,L. General San Martín
13,1,9.0,Capital
20,1,0.0,Deseado
14,10,0.0,Cainguas
14,12,0.0,Montecarlo
11,20,0.0,Toay
18,15,0.0,Caucete
19,4,0.0,Chacabuco
14,11,0.0,25 De Mayo
19,1,0.0,Pueyrredon
17,8,0.0,San Martín
6,22,0.0,2 De Abril
21,14,0.0,
13,15,10.0,La Paz
18,7,0.0,Nueve De Julio
18,14,0.0,25 De Mayo
21,6,0.0,General López
18,6,0.0,Rawson
17,4,0.0,Metán
9,2,0.0,Laishi
18,8,0.0,San Martín
14,17,0.0,General Manuel Belgrano
18,11,0.0,Ullúm
14,13,0.0,Guaraní
20,5,0.0,Corpen Aike
20,2,0.0,Lago Buenos Aires
22,8,0.0,Copo
14,14,0.0,El Dorado
22,12,0.0,Jiménez
22,9,0.0,Choya
18,3,0.0,Chimbas
22,6,0.0,Banda
22,4,0.0,Alberdi
19,2,0.0,Pringles
6,2,0.0,Primero De Mayo
18,17,0.0,Jáchal
20,4,0.0,Río Chico
20,7,0.0,Güer Aike
11,22,0.0,Utracán
22,5,0.0,Atamisqui
21,15,0.0,
17,3,0.0,General Güemes
8,2,0.0,
23,1,13.0,Capital
18,9,0.0,Angaco
20,6,0.0,Lago Argentino
18,10,0.0,Albardón
23,2,15.0,Lules
21,17,0.0,San Javier
23,4,15.0,Monteros
21,16,0.0,San Cristóbal
21,19,0.0,San Justo
22,22,0.0,Río Hondo
21,1,0.0,Belgrano
21,20,0.0,San Lorenzo
21,18,0.0,San Jerónimo
21,21,0.0,San Martín
22,27,0.0,Taboada
22,21,0.0,Robles
23,5,15.0,Chicligasta
21,2,0.0,Caseros
6,8,0.0,Lib. Gral. San Martín
22,18,0.0,Pellegrini
22,16,0.0,Moreno
21,7,0.0,General Obligado
23,3,15.0,Famaillá
6,4,0.0,General Donovan
22,17,0.0,Ojo De Agua
21,22,0.0,Vera
22,1,0.0,Capital
23,8,15.0,La Cocha
22,15,0.0,Mitre
22,11,0.0,Guasayán
21,9,0.0,La Capital
23,6,15.0,Río Chico
23,12,14.0,Cruz Alta
23,9,14.0,Graneros
24,1,0.0,Ushuaia
23,11,14.0,Leales
22,20,0.0,Rivadavia
21,10,0.0,
6,9,0.0,Tapenaga
21,12,0.0,Nueve De Julio
21,3,0.0,Castellanos
21,8,0.0,Iriondo
24,2,0.0,Río Grande
21,11,0.0,Las Colonias
